CoC Number,CoC Name,CoC Category,Count Types,Homelessness.Type,Count,Year
NY-516,Clinton County CoC,NA,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,149,2012
NY-516,Clinton County CoC,NA,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,87,2012
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",Largely Rural CoC,Sheltered-Only Count,Overall.Homeless,176,2012
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",Largely Rural CoC,Sheltered-Only Count,Sheltered.Total.Homeless,154,2012
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",Largely Rural CoC,Sheltered-Only Count,Unsheltered.Homeless,22,2012
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",Largely Rural CoC,Sheltered-Only Count,Overall.Homeless.Individuals,85,2012
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",Largely Rural CoC,Sheltered-Only Count,Overall.Homeless.People.in.Families,91,2012
NY-519,"Columbia, Greene Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless,132,2012
NY-519,"Columbia, Greene Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,132,2012
NY-519,"Columbia, Greene Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,0,2012
NY-519,"Columbia, Greene Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,60,2012
NY-519,"Columbia, Greene Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,72,2012
NY-520,"Franklin, Essex Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless,14,2012
NY-520,"Franklin, Essex Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,5,2012
NY-520,"Franklin, Essex Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,9,2012
NY-520,"Franklin, Essex Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,14,2012
NY-520,"Franklin, Essex Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,0,2012
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless,95,2012
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,81,2012
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,14,2012
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,82,2012
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,13,2012
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,299,2012
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,262,2012
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,37,2012
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,174,2012
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,125,2012
NY-600,New York City CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless,56672,2012
NY-600,New York City CoC,Major City CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,53410,2012
NY-600,New York City CoC,Major City CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,3262,2012
NY-600,New York City CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,23543,2012
NY-600,New York City CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,33129,2012
NY-601,Poughkeepsie/Dutchess County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,453,2012
NY-601,Poughkeepsie/Dutchess County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,409,2012
NY-601,Poughkeepsie/Dutchess County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,44,2012
NY-601,Poughkeepsie/Dutchess County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,248,2012
NY-601,Poughkeepsie/Dutchess County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,205,2012
NY-602,"Newburgh, Middletown/Orange County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,502,2012
NY-602,"Newburgh, Middletown/Orange County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,356,2012
NY-602,"Newburgh, Middletown/Orange County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,146,2012
NY-602,"Newburgh, Middletown/Orange County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,323,2012
NY-602,"Newburgh, Middletown/Orange County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,179,2012
NY-603,"Nassau, Suffolk Counties CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,3359,2012
NY-603,"Nassau, Suffolk Counties CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,3224,2012
NY-603,"Nassau, Suffolk Counties CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,135,2012
NY-603,"Nassau, Suffolk Counties CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,1082,2012
NY-603,"Nassau, Suffolk Counties CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,2277,2012
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,1741,2012
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,1703,2012
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,38,2012
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,726,2012
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,1015,2012
NY-606,Rockland County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,107,2012
NY-606,Rockland County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,104,2012
NY-606,Rockland County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,3,2012
NY-606,Rockland County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,77,2012
NY-606,Rockland County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,30,2012
NY-607,Sullivan County CoC,NA,Sheltered and Unsheltered Count,Overall.Homeless,630,2012
NY-607,Sullivan County CoC,NA,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,618,2012
NY-607,Sullivan County CoC,NA,Sheltered and Unsheltered Count,Unsheltered.Homeless,12,2012
NY-607,Sullivan County CoC,NA,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,257,2012
NY-607,Sullivan County CoC,NA,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,373,2012
NY-608,Kingston/Ulster County CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless,355,2012
NY-608,Kingston/Ulster County CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,291,2012
NY-608,Kingston/Ulster County CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,64,2012
NY-608,Kingston/Ulster County CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,169,2012
NY-608,Kingston/Ulster County CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,186,2012
OH-500,Cincinnati/Hamilton County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,1654,2012
OH-500,Cincinnati/Hamilton County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,1608,2012
OH-500,Cincinnati/Hamilton County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,46,2012
OH-500,Cincinnati/Hamilton County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,887,2012
OH-500,Cincinnati/Hamilton County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,767,2012
OH-501,Toledo/Lucas County CoC,Other Largely Urban CoC,Sheltered and Unsheltered Count,Overall.Homeless,977,2012
OH-501,Toledo/Lucas County CoC,Other Largely Urban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,840,2012
OH-501,Toledo/Lucas County CoC,Other Largely Urban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,137,2012
OH-501,Toledo/Lucas County CoC,Other Largely Urban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,650,2012
OH-501,Toledo/Lucas County CoC,Other Largely Urban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,327,2012
OH-502,Cleveland/Cuyahoga County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,2191,2012
OH-502,Cleveland/Cuyahoga County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,2067,2012
OH-502,Cleveland/Cuyahoga County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,124,2012
OH-502,Cleveland/Cuyahoga County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,1626,2012
OH-502,Cleveland/Cuyahoga County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,565,2012
OH-503,Columbus/Franklin County CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless,1434,2012
OH-503,Columbus/Franklin County CoC,Major City CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,1252,2012
OH-503,Columbus/Franklin County CoC,Major City CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,182,2012
OH-503,Columbus/Franklin County CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,1068,2012
OH-503,Columbus/Franklin County CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,366,2012
OH-504,Youngstown/Mahoning County CoC,Other Largely Urban CoC,Sheltered and Unsheltered Count,Overall.Homeless,224,2012
OH-504,Youngstown/Mahoning County CoC,Other Largely Urban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,214,2012
OH-504,Youngstown/Mahoning County CoC,Other Largely Urban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,10,2012
OH-504,Youngstown/Mahoning County CoC,Other Largely Urban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,86,2012
OH-504,Youngstown/Mahoning County CoC,Other Largely Urban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,138,2012
OH-505,"Dayton, Kettering/Montgomery County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,1081,2012
OH-505,"Dayton, Kettering/Montgomery County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,1014,2012
OH-505,"Dayton, Kettering/Montgomery County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,67,2012
OH-505,"Dayton, Kettering/Montgomery County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,639,2012
OH-505,"Dayton, Kettering/Montgomery County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,442,2012
OH-506,"Akron, Barberton/Summit County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,813,2012
OH-506,"Akron, Barberton/Summit County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,647,2012
OH-506,"Akron, Barberton/Summit County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,166,2012
OH-506,"Akron, Barberton/Summit County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,510,2012
OH-506,"Akron, Barberton/Summit County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,303,2012
OH-507,Ohio Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless,5121,2012
OH-507,Ohio Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,4185,2012
OH-507,Ohio Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,936,2012
OH-507,Ohio Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,2137,2012
OH-507,Ohio Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,2984,2012
OH-508,"Canton, Massillon, Alliance/Stark County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,482,2012
OH-508,"Canton, Massillon, Alliance/Stark County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,419,2012
OH-508,"Canton, Massillon, Alliance/Stark County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,63,2012
OH-508,"Canton, Massillon, Alliance/Stark County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,252,2012
OH-508,"Canton, Massillon, Alliance/Stark County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,230,2012
OK-500,North Central Oklahoma CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless,204,2012
OK-500,North Central Oklahoma CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,147,2012
OK-500,North Central Oklahoma CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,57,2012
OK-500,North Central Oklahoma CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,108,2012
OK-500,North Central Oklahoma CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,96,2012
OK-501,Tulsa City & County CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless,1021,2012
OK-501,Tulsa City & County CoC,Major City CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,876,2012
OK-501,Tulsa City & County CoC,Major City CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,145,2012
OK-501,Tulsa City & County CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,804,2012
OK-501,Tulsa City & County CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,217,2012
OK-502,Oklahoma City CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless,1303,2012
OK-502,Oklahoma City CoC,Major City CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,942,2012
OK-502,Oklahoma City CoC,Major City CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,361,2012
OK-502,Oklahoma City CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,1069,2012
OK-502,Oklahoma City CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,234,2012
OK-503,Oklahoma Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless,571,2012
OK-503,Oklahoma Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,144,2012
OK-503,Oklahoma Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,427,2012
OK-503,Oklahoma Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,285,2012
OK-503,Oklahoma Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,286,2012
OK-504,Norman/Cleveland County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,616,2012
OK-504,Norman/Cleveland County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,160,2012
OK-504,Norman/Cleveland County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,456,2012
OK-504,Norman/Cleveland County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,433,2012
OK-504,Norman/Cleveland County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,183,2012
OK-505,Northeast Oklahoma CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless,342,2012
OK-505,Northeast Oklahoma CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,277,2012
OK-505,Northeast Oklahoma CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,65,2012
OK-505,Northeast Oklahoma CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,217,2012
OK-505,Northeast Oklahoma CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,125,2012
OK-506,Southwest Oklahoma Regional CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless,396,2012
OK-506,Southwest Oklahoma Regional CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,233,2012
OK-506,Southwest Oklahoma Regional CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,163,2012
OK-506,Southwest Oklahoma Regional CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,221,2012
OK-506,Southwest Oklahoma Regional CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,175,2012
OK-507,Southeastern Oklahoma Regional CoC,Largely Rural CoC,Sheltered-Only Count,Overall.Homeless,579,2012
OK-507,Southeastern Oklahoma Regional CoC,Largely Rural CoC,Sheltered-Only Count,Sheltered.Total.Homeless,264,2012
OK-507,Southeastern Oklahoma Regional CoC,Largely Rural CoC,Sheltered-Only Count,Unsheltered.Homeless,315,2012
OK-507,Southeastern Oklahoma Regional CoC,Largely Rural CoC,Sheltered-Only Count,Overall.Homeless.Individuals,317,2012
OK-507,Southeastern Oklahoma Regional CoC,Largely Rural CoC,Sheltered-Only Count,Overall.Homeless.People.in.Families,262,2012
OR-500,"Eugene, Springfield/Lane County CoC",Other Largely Urban CoC,Sheltered-Only Count,Overall.Homeless,2057,2012
OR-500,"Eugene, Springfield/Lane County CoC",Other Largely Urban CoC,Sheltered-Only Count,Sheltered.Total.Homeless,651,2012
OR-500,"Eugene, Springfield/Lane County CoC",Other Largely Urban CoC,Sheltered-Only Count,Unsheltered.Homeless,1406,2012
OR-500,"Eugene, Springfield/Lane County CoC",Other Largely Urban CoC,Sheltered-Only Count,Overall.Homeless.Individuals,1539,2012
OR-500,"Eugene, Springfield/Lane County CoC",Other Largely Urban CoC,Sheltered-Only Count,Overall.Homeless.People.in.Families,518,2012
OR-501,"Portland, Gresham/Multnomah County CoC",Major City CoC,Sheltered-Only Count,Overall.Homeless,4423,2012
OR-501,"Portland, Gresham/Multnomah County CoC",Major City CoC,Sheltered-Only Count,Sheltered.Total.Homeless,2709,2012
OR-501,"Portland, Gresham/Multnomah County CoC",Major City CoC,Sheltered-Only Count,Unsheltered.Homeless,1714,2012
OR-501,"Portland, Gresham/Multnomah County CoC",Major City CoC,Sheltered-Only Count,Overall.Homeless.Individuals,2918,2012
OR-501,"Portland, Gresham/Multnomah County CoC",Major City CoC,Sheltered-Only Count,Overall.Homeless.People.in.Families,1505,2012
OR-502,"Medford, Ashland/Jackson County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,691,2012
OR-502,"Medford, Ashland/Jackson County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,441,2012
OR-502,"Medford, Ashland/Jackson County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,250,2012
OR-502,"Medford, Ashland/Jackson County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,560,2012
OR-502,"Medford, Ashland/Jackson County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,131,2012
OR-503,Central Oregon CoC,Largely Rural CoC,Sheltered-Only Count,Overall.Homeless,808,2012
OR-503,Central Oregon CoC,Largely Rural CoC,Sheltered-Only Count,Sheltered.Total.Homeless,276,2012
OR-503,Central Oregon CoC,Largely Rural CoC,Sheltered-Only Count,Unsheltered.Homeless,532,2012
OR-503,Central Oregon CoC,Largely Rural CoC,Sheltered-Only Count,Overall.Homeless.Individuals,460,2012
OR-503,Central Oregon CoC,Largely Rural CoC,Sheltered-Only Count,Overall.Homeless.People.in.Families,348,2012
OR-505,Oregon Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless,6105,2012
OR-505,Oregon Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,2035,2012
OR-505,Oregon Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,4070,2012
OR-505,Oregon Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,3342,2012
OR-505,Oregon Balance of State CoC,Largely Rural CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,2763,2012
OR-506,"Hillsboro, Beaverton/Washington County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,751,2012
OR-506,"Hillsboro, Beaverton/Washington County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,309,2012
OR-506,"Hillsboro, Beaverton/Washington County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,442,2012
OR-506,"Hillsboro, Beaverton/Washington County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,399,2012
OR-506,"Hillsboro, Beaverton/Washington County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,352,2012
OR-507,Clackamas County CoC,Largely Suburban CoC,Sheltered-Only Count,Overall.Homeless,993,2012
OR-507,Clackamas County CoC,Largely Suburban CoC,Sheltered-Only Count,Sheltered.Total.Homeless,124,2012
OR-507,Clackamas County CoC,Largely Suburban CoC,Sheltered-Only Count,Unsheltered.Homeless,869,2012
OR-507,Clackamas County CoC,Largely Suburban CoC,Sheltered-Only Count,Overall.Homeless.Individuals,570,2012
OR-507,Clackamas County CoC,Largely Suburban CoC,Sheltered-Only Count,Overall.Homeless.People.in.Families,423,2012
PA-500,Philadelphia CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless,5780,2012
PA-500,Philadelphia CoC,Major City CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,5280,2012
PA-500,Philadelphia CoC,Major City CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,500,2012
PA-500,Philadelphia CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,2976,2012
PA-500,Philadelphia CoC,Major City CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,2804,2012
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,386,2012
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,328,2012
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,58,2012
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,235,2012
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,151,2012
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,604,2012
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,566,2012
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,38,2012
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,244,2012
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,360,2012
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,178,2012
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,173,2012
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,5,2012
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,94,2012
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,84,2012
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,419,2012
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,396,2012
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,23,2012
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.Individuals,148,2012
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless.People.in.Families,271,2012
PA-505,Chester County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Overall.Homeless,691,2012
PA-505,Chester County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Sheltered.Total.Homeless,667,2012
PA-505,Chester County CoC,Largely Suburban CoC,Sheltered and Unsheltered Count,Unsheltered.Homeless,24,2012
